state,ABB,capitol,largest_city,land_area,water_area,total_area,population,latitude,longitude,region,division,southwest_longitude,southwest_latitude,northeast_longitude,northeast_latitude,
alabama,al,montgomery,huntsville,50645,1775,52420,5024279,32.361538,-86.279118,south,east south central,-88.47459515,30.22250113,-84.89247975,35.00832267,
alaska,ak,juneau,anchorage,570641,94743,665384,733391,58.301935,-134.41974,west,pacific,-179.1365721,51.22908775,179.7748807,71.352561,
arizona,az,phoenix,phoenix,113594,396,113990,7151502,33.448457,-112.073844,west,mountain,-114.8128345,31.33240625,-109.044839,37.00391833,
arkansas,ar,little rock,little rock,52035,1143,53178,3011524,34.736009,-92.331122,south,west south central,-94.61946647,33.00413641,-89.65547287,36.49965029,
california,ca,sacramento,los angeles,155779,7916,163695,39538223,38.555605,-121.468926,west,pacific,-124.4106066,32.53423076,-114.1344579,42.00965915,
colorado,co,denver,denver,103642,452,104094,5773714,39.7391667,-104.984167,west,mountain,-109.0591962,36.99275056,-102.0421264,41.00198213,
connecticut,ct,hartford,bridgeport,4842,701,5543,3605944,41.767,-72.677,northeast,new england,-73.72618613,40.98480094,-71.78796738,42.05089401,
delaware,de,dover,wilmington,1949,540,2489,989948,39.161921,-75.526755,south,south atlantic,-75.79003018,38.45143391,-75.05063562,39.83881531,
florida,fl,tallahassee,jacksonville,53625,12133,65758,21538187,30.4518,-84.27277,south,south atlantic,-87.63470036,24.51490855,-80.03257568,31.00080921,
georgia,ga,atlanta,atlanta,57513,1912,59425,10711908,33.76,-84.39,south,south atlantic,-85.60674925,30.35909162,-80.84375612,35.00059113,
hawaii,hi,honolulu,honolulu,6423,4509,10932,1455271,21.30895,-157.826182,west,pacific,-160.2497071,18.91727561,-154.8083374,22.23238695,
idaho,id,boise,boise,82643,926,83569,1839106,43.613739,-116.237651,west,mountain,-117.2427865,41.98818266,-111.0440758,49.00068691,
illinois,il,springfield,chicago,55519,2395,57914,12812508,39.78325,-89.650373,midwest,east north central,-91.51472716,36.970415,-87.49471789,42.50877283,
indiana,in,indianapolis,indianapolis,35826,593,36419,6785528,39.790942,-86.147685,midwest,east north central,-88.09771928,37.77191769,-84.78480093,41.76053184,
iowa,ia,des moines,des moines,55857,416,56273,3190369,41.590939,-93.620866,midwest,west north central,-96.6330604,40.3783048,-90.14002756,43.50012771,
kansas,ks,topeka,wichita,81759,520,82279,2937880,39.04,-95.69,midwest,west north central,-102.0528943,36.99275056,-94.59075211,40.00289571,
